interest_category_id,interest_category_name,level,placements,special_industries,sub_category_ids
10,Education,1,,"HOUSING,EMPLOYMENT,CREDIT","10100,10101,10102,10103,10104,10105,10106"
11,Vehicles & Transportation,1,,"HOUSING,EMPLOYMENT,CREDIT","11100,11101,11102,11103,11104,11105,11106,11107,11108,11109,11111,11112"
12,Baby & Kids Products,1,,,"12101,12102,12103,12104,12105,12106,12107,12108,12109"
13,Financial Services,1,,"HOUSING,EMPLOYMENT,CREDIT","13101,13102,13108,13112,13114"
14,Beauty & Personal Care,1,,"HOUSING,EMPLOYMENT,CREDIT","14100,14101,14102,14103,14104,14106,14107"
15,Tech & Electronics,1,,"HOUSING,EMPLOYMENT,CREDIT","15100,15101,15102,15104,15105,15106,15107"
16,Appliances,1,,"HOUSING,EMPLOYMENT,CREDIT","16100,16101,16102,16104,16105"
17,Travel,1,,"HOUSING,EMPLOYMENT,CREDIT","17103,17105,17106"
18,Household Products,1,,"HOUSING,EMPLOYMENT,CREDIT","18100,18102,18104,18105,18106,18107,18108,18109,18110,18111,18112"
19,Pets,1,,"HOUSING,EMPLOYMENT,CREDIT","19100,19101,19102,19103,19105,19106"
20,Apps,1,,"HOUSING,EMPLOYMENT,CREDIT","20100,20101,20102,20103,20104,20105,20106,20107,20108,20109,20110,20111,20112"
21,Home Improvement,1,,"HOUSING,EMPLOYMENT,CREDIT","21100,21101,21102,21103,21104"
22,Apparel & Accessories,1,,"HOUSING,EMPLOYMENT,CREDIT","22101,22102,22105,22106,22107,22108,22109,22110,22111,22112,22113"
23,News & Entertainment,1,,"HOUSING,EMPLOYMENT,CREDIT","23102,23103,23104,23105,23106,23107,23108,23109,23110,23111,23112,23113,23114,23116,23117,23118,23119,23122,23123,23124,23126,23129,23131,23133,23999,29101,20107105"
24,Business Services,1,,"HOUSING,EMPLOYMENT,CREDIT","24100,24101,24102,24103,24104,24106,24107,24108,24109,24110,24111,24112,24113,24114,24116,24117,24118,24119,24120"
25,Games,1,,"HOUSING,EMPLOYMENT,CREDIT","25100,25992,25993,25996,25998,25999"
26,Life Services,1,,"HOUSING,EMPLOYMENT,CREDIT","26100,26101,26104,26105,26106,26107,26108,26111,26112,26113,26114"
27,Food & Beverage,1,,"HOUSING,EMPLOYMENT,CREDIT","27100,27101,27102,27104"
28,Sports & Outdoors,1,,"HOUSING,EMPLOYMENT,CREDIT",28100.28101
30,E-Commerce (Non-app),1,,"HOUSING,EMPLOYMENT,CREDIT",30100
10100,Early Childhood & Preschool Education,2,,"HOUSING,EMPLOYMENT,CREDIT",
10101,Primary & Secondary Education & K-12,2,,"HOUSING,EMPLOYMENT,CREDIT",10101102
10102,Higher Education,2,,"HOUSING,EMPLOYMENT,CREDIT",10102100.10102100
10103,Overseas Education,2,,,10103101.10103100
10104,Vocational Training,2,,"HOUSING,EMPLOYMENT,CREDIT","10104100,10104101,10104103,10104104,10104105,10104108,10104109,10104112"
10105,Language Training,2,,"HOUSING,EMPLOYMENT,CREDIT",10105101.10105100
10106,Non-academic Training (Hobbies),2,,"HOUSING,EMPLOYMENT,CREDIT","10106100,10106101,10106103"
11100,Automobiles,2,,,11100100.11100100
11101,Auto Accessories,2,,"HOUSING,EMPLOYMENT,CREDIT","11101100,11101101,11101102,11101103"
11102,Auto Services,2,,,11102100.11102100
11103,Auto Parts,2,,,
11104,Car Rentals,2,,,
11105,Used Cars,2,,,
11106,Motorcycles,2,,"HOUSING,EMPLOYMENT,CREDIT",
11107,Bicycles,2,,,
11108,Electric Scooters,2,,,
11109,Water Vehicles,2,,,
11111,Accessories for 2/3-Wheeled Vehicles,2,,,
11112,Car Dealerships,2,,"HOUSING,EMPLOYMENT,CREDIT",
12101,Strollers & Cribs,2,,,
12102,Baby Formula,2,,,
12103,Diapers & Baby Wipes,2,,,
12104,Baby Bedding,2,,,
12105,Baby Shoes,2,,,
12106,Toys for Kids,2,,,
12107,Child Car Seats,2,,,
12108,Baby Feeding Supplies,2,,,
12109,Children's Apparel,2,,,
13101,Securities,2,,,
13102,Insurance,2,,"HOUSING,EMPLOYMENT,CREDIT",
13108,Credit Bureaus,2,,"HOUSING,EMPLOYMENT,CREDIT",
13112,Foreign Exchange Transactions,2,,,
13114,Third-Party Payments,2,,,
14100,Oral Care,2,,"HOUSING,EMPLOYMENT,CREDIT","14100100,14100101,14100102,14100103"
14101,Haircare,2,,"HOUSING,EMPLOYMENT,CREDIT","14101100,14101101,14101102,14101103"
14102,Wig & Hair Styling,2,,"HOUSING,EMPLOYMENT,CREDIT","14102100,14102102,14102103,14102104"
14103,Skin Care,2,,"HOUSING,EMPLOYMENT,CREDIT","14103100,14103101,14103102,14103103,14103105"
14104,Cosmetics,2,,"HOUSING,EMPLOYMENT,CREDIT","14104100,14104101,14104102,14104103,14104104,14104105,14104107,14104108"
14106,Fragrances & Perfumes,2,,"HOUSING,EMPLOYMENT,CREDIT",14106100.14106100
14107,Feminine Care,2,,,
15100,Cell Phones,2,,"HOUSING,EMPLOYMENT,CREDIT",15100100
15101,Computers,2,,"HOUSING,EMPLOYMENT,CREDIT","15101102,15101103,15101104"
15102,Computer Components,2,,"HOUSING,EMPLOYMENT,CREDIT",
15104,Gaming Devices,2,,,
